location_name,location_id,province,province_id,municipality,municipality_id,location_type,page,area
Klemskerke - Weiden (WKL),28859,West-Vlaanderen,15.0,De Haan,24018.0,Gebied,246,"9,3 km2"
Klemskerke (Dg),27220,West-Vlaanderen,15.0,De Haan,24018.0,Deelgemeente,246,"20,25 km2"
Klerken (Dg),27300,West-Vlaanderen,15.0,Houthulst,24057.0,Deelgemeente,246,"7,4 km2"
Kluisbergen,24179,Oost-Vlaanderen,16.0,—,,Gemeente,246,"30,7 km2"
Knesselare,24198,Oost-Vlaanderen,16.0,—,,Gemeente,246,"37,42 km2"
Knesselare - Eentveld (6200A),28372,Oost-Vlaanderen,16.0,Knesselare,24198.0,Gebied,246,"1,99 km2"
Knesselare - Helle (6200E),30243,Oost-Vlaanderen,16.0,Knesselare,24198.0,Gebied,246,"1,83 km2"
Knesselare - Kappershoek (KHOL),31554,West-Vlaanderen,15.0,Beernem,24066.0,Gebied,246,"2,33 km2"
Knesselare - Knesselare dorp (6200B),30242,Oost-Vlaanderen,16.0,Knesselare,24198.0,Gebied,246,"1,88 km2"
Knesselare - Knesselare Kanaal (6200H),28373,Oost-Vlaanderen,16.0,Knesselare,24198.0,Gebied,246,"16,48 ha"
Knesselare - Koningsbos (KOBO),31553,West-Vlaanderen,15.0,Beernem,24066.0,Gebied,246,"45,92 ha"
Knesselare - Krits (KROL),31552,West-Vlaanderen,15.0,Beernem,24066.0,Gebied,246,"2,19 km2"
Knesselare - Malsem (6200F),30245,Oost-Vlaanderen,16.0,Knesselare,24198.0,Gebied,246,"1,63 km2"
Knesselare - Mortelput-Rietjes (6200G),30244,Oost-Vlaanderen,16.0,Knesselare,24198.0,Gebied,246,"3,21 km2"
Knesselare - Omgeving Knesselare (6200),28730,Oost-Vlaanderen,16.0,Knesselare,24198.0,Gebied,246,"13,02 km2"
Knesselare - Schapersbossen (6200C),30240,Oost-Vlaanderen,16.0,Knesselare,24198.0,Gebied,246,"89,36 ha"
Knesselare - Wagemaekersbeek-Driesbeek (Prov. Oost-Vlaanderen),613786,Oost-Vlaanderen,16.0,Knesselare,24198.0,Gebied,246,"37,71 km2"
Knesselare - Westvoorde-Zandekes  (6200D),30241,Oost-Vlaanderen,16.0,Knesselare,24198.0,Gebied,246,"1,43 km2"
Knokke - Albertstrand (ASKN),28548,West-Vlaanderen,15.0,Knokke-Heist,91755.0,Gebied,247,"58,33 ha"
Knokke - Albertstrand te Knokke - Zegemeer (ZMKN),31777,West-Vlaanderen,15.0,Knokke-Heist,91755.0,Gebied,247,"6,05 ha"
Knokke - Blinckaertduinbos (BDBO),31781,West-Vlaanderen,15.0,Knokke-Heist,91755.0,Gebied,247,"33,86 ha"
Knokke - Bosje Internationale Dijk (BOID),31758,West-Vlaanderen,15.0,Knokke-Heist,91755.0,Gebied,247,"8,87 ha"
Knokke - Boswijk 't Zoute (BWZO),31783,West-Vlaanderen,15.0,Knokke-Heist,91755.0,Gebied,247,"61,97 ha"
Knokke - Burkelpolder (BUPO),31763,West-Vlaanderen,15.0,Knokke-Heist,91755.0,Gebied,247,"66,78 ha"
Knokke - Cantelmoliniepolder (CLPO),31684,West-Vlaanderen,15.0,Knokke (Dg),24010.0,Gebied,247,"94,36 ha"
Knokke - Centrum (CKN),31778,West-Vlaanderen,15.0,Knokke (Dg),24010.0,Gebied,247,"77,55 ha"
Knokke - Duinwijk 't Zoute (DWZO),31784,West-Vlaanderen,15.0,Knokke-Heist,91755.0,Gebied,247,"1,08 km2"
Knokke - Dujardin weiden - Kleiputten Dujardin (KPDU),31738,West-Vlaanderen,15.0,Knokke (Dg),24010.0,Gebied,247,"11,09 ha"
Knokke - Dujardin weiden (DWKN),31737,West-Vlaanderen,15.0,Knokke (Dg),24010.0,Gebied,247,"2,3 km2"
Knokke - Golf (GOKN),31780,West-Vlaanderen,15.0,Knokke-Heist,91755.0,Gebied,247,"78,08 ha"
Knokke - Gouvenementpolder (GPO),31756,West-Vlaanderen,15.0,Knokke-Heist,91755.0,Gebied,247,"30,66 ha"
Knokke - Hazegrasduinen (HGDU),31768,West-Vlaanderen,15.0,Knokke-Heist,91755.0,Gebied,247,"79,73 ha"
Knokke - Het Zwin - Broedvogeleilanden Zwinuitbreiding,625092,West-Vlaanderen,15.0,Knokke-Heist,91755.0,Gebied,247,"10,38 ha"
Knokke - Het Zwin - Kleyne Vlakte (KLVL),31766,West-Vlaanderen,15.0,Knokke-Heist,91755.0,Gebied,247,"1,22 km2"
Knokke - Het Zwin - Natuurcentrum/Zwinpark (ZPA) (Provinciedomein),190454,West-Vlaanderen,15.0,Knokke-Heist,91755.0,Gebied,247,"17,17 ha"
Knokke - Het Zwin - Nieuwe Internationale Dijk,625094,West-Vlaanderen,15.0,Knokke-Heist,91755.0,Gebied,247,"24,81 ha"
Knokke - Het Zwin - Zwinuitbreiding,625095,West-Vlaanderen,15.0,Knokke-Heist,91755.0,Gebied,247,"90,76 ha"
Knokke - Het Zwin - Zwinvlakte,191266,West-Vlaanderen,15.0,Knokke-Heist,91755.0,Gebied,247,"1,84 km2"
Knokke - Het Zwin - Zwinvlakte - België - Broedvogeleiland,191264,West-Vlaanderen,15.0,Knokke-Heist,91755.0,Gebied,247,"4,36 ha"
Knokke - Het Zwin - Zwinvlakte - België - Broedvogeleiland - Duinengordel,191792,West-Vlaanderen,15.0,Knokke-Heist,91755.0,Gebied,247,"8,24 ha"
Knokke - Het Zwin - Zwinvlakte - België (Z),31752,West-Vlaanderen,15.0,Knokke-Heist,91755.0,Gebied,247,"1,8 km2"
Knokke - Kalfduinen (KADU),31772,West-Vlaanderen,15.0,Knokke-Heist,91755.0,Gebied,247,"34,58 ha"
Knokke - Kleiputten Nieuwe Vrede (KPNV),31761,West-Vlaanderen,15.0,Knokke-Heist,91755.0,Gebied,247,"24,02 ha"
Knokke - Kleiputten Oude Vrede (KPOV),31764,West-Vlaanderen,15.0,Knokke (Dg),24010.0,Gebied,248,"20,36 ha"
Knokke - Korte Duinen (KODU),31767,West-Vlaanderen,15.0,Knokke-Heist,91755.0,Gebied,248,"22,44 ha"
Knokke - Nieuwe Dievegatkreek (DGKR),625093,West-Vlaanderen,15.0,Knokke-Heist,91755.0,Gebied,248,"2,9 ha"
Knokke - Nieuwe Hazegraspolder - Bosjes Nieuwe Hazegraspolder (BONH),32154,West-Vlaanderen,15.0,Knokke-Heist,91755.0,Gebied,248,"2,02 ha"
Knokke - Nieuwe Hazegraspolder - Kreek Da Costa (KRDC),31794,West-Vlaanderen,15.0,Knokke-Heist,91755.0,Gebied,248,"9,8 ha"
Knokke - Nieuwe Hazegraspolder (NHPO),31793,West-Vlaanderen,15.0,Knokke-Heist,91755.0,Gebied,248,"3,07 km2"
Knokke - Nieuwe Verkaveling (NVKN),31774,West-Vlaanderen,15.0,Knokke-Heist,91755.0,Gebied,248,"72,62 ha"
Knokke - Oosthoek (OHKN),28547,West-Vlaanderen,15.0,Knokke-Heist,91755.0,Gebied,248,"13,11 ha"
Knokke - Oude Hazegraspolder (OHPO),31769,West-Vlaanderen,15.0,Knokke-Heist,91755.0,Gebied,248,"71,61 ha"
Knokke - Plaatpolder (PLPO),31762,West-Vlaanderen,15.0,Knokke-Heist,91755.0,Gebied,248,"1,3 km2"
Knokke - Put van Cloedt (PCKN),31736,West-Vlaanderen,15.0,Knokke-Heist,91755.0,Gebied,248,"15,35 ha"
Knokke - Ruime omgeving Het Zwin,189560,West-Vlaanderen,15.0,Knokke-Heist,91755.0,Gebied,248,"16,92 km2"
Knokke - Strand - Albertstrand (SAS),31742,West-Vlaanderen,15.0,Knokke-Heist,91755.0,Gebied,248,"52,35 ha"
Knokke - Strand (SKN),31744,West-Vlaanderen,15.0,Knokke-Heist,91755.0,Gebied,248,"44,4 ha"
Knokke - Strand Zoute (SZO),31746,West-Vlaanderen,15.0,Knokke-Heist,91755.0,Gebied,248,"16,52 ha"
Knokke - Strand Zwin (SZW),31750,West-Vlaanderen,15.0,Knokke-Heist,91755.0,Gebied,248,"23,05 ha"
Knokke - Strand Zwinbosjes (SZB),31748,West-Vlaanderen,15.0,Knokke-Heist,91755.0,Gebied,248,"25,58 ha"
Knokke - Strand Zwinbosjes (SZB) - Dijk aan duinengordel,191678,West-Vlaanderen,15.0,Knokke-Heist,91755.0,Gebied,248,2.690 m2
Knokke - 't Zoute (ZOKN),31779,West-Vlaanderen,15.0,Knokke-Heist,91755.0,Gebied,248,"64,39 ha"
Knokke - Tolpaartpolder (TPPO),31773,West-Vlaanderen,15.0,Knokke-Heist,91755.0,Gebied,248,"89,26 ha"
Knokke - Vagevuurpolder (VVPO),31770,West-Vlaanderen,15.0,Knokke-Heist,91755.0,Gebied,248,"1,32 km2"
Knokke - Villawijk 't Kalf (VWKA),31771,West-Vlaanderen,15.0,Knokke-Heist,91755.0,Gebied,248,"23,38 ha"
Knokke - Villawijk Ter Linden (VWTL),28549,West-Vlaanderen,15.0,Knokke-Heist,91755.0,Gebied,248,"1,01 km2"
Knokke - Willem Leopold Polder - Bosjes,28546,West-Vlaanderen,15.0,Knokke-Heist,91755.0,Gebied,248,"1,51 ha"
Knokke - Willem Leopold Polder - Bosjes (BOWP),31759,West-Vlaanderen,15.0,Knokke-Heist,91755.0,Gebied,248,"1,42 ha"
Knokke - Willem Leopold Polder - Bosjes (WLPO),31760,West-Vlaanderen,15.0,Knokke-Heist,91755.0,Gebied,249,6.576 m2
Knokke - Willem Leopold Polder (WLPO),31757,West-Vlaanderen,15.0,Knokke-Heist,91755.0,Gebied,249,"18,85 ha"
Knokke - Zee te Zwin (ZZW),31751,West-Vlaanderen,15.0,Knokke (Dg),24010.0,Gebied,249,"5,41 km2"
Knokke - Zee te Zwinbosjes (ZZB),31749,West-Vlaanderen,15.0,Knokke (Dg),24010.0,Gebied,249,"6,49 km2"
Knokke - Zwinbosjes - Bos,191263,West-Vlaanderen,15.0,Knokke-Heist,91755.0,Gebied,249,"60,6 ha"
Knokke - Zwinbosjes - Bos - Sectie 3 (ZB3),31787,West-Vlaanderen,15.0,Knokke-Heist,91755.0,Gebied,249,"11,11 ha"
Knokke - Zwinbosjes - Bos - Sectie 4 (ZB4),31790,West-Vlaanderen,15.0,Knokke-Heist,91755.0,Gebied,249,"11,55 ha"
Knokke - Zwinbosjes - Bos - Sectie 5 (ZB5),31789,West-Vlaanderen,15.0,Knokke-Heist,91755.0,Gebied,249,"12,44 ha"
Knokke - Zwinbosjes - Bos - Sectie 6: Tobroek (ZBTB),31791,West-Vlaanderen,15.0,Knokke-Heist,91755.0,Gebied,249,"24,47 ha"
Knokke - Zwinbosjes - Duinen,191262,West-Vlaanderen,15.0,Knokke-Heist,91755.0,Gebied,249,"62,01 ha"
Knokke - Zwinbosjes - Duinen - Groenpleinduinen (GPDU),31785,West-Vlaanderen,15.0,Knokke-Heist,91755.0,Gebied,249,"9,42 ha"
Knokke - Zwinbosjes - Duinen - Sectie 1 (ZB1),31788,West-Vlaanderen,15.0,Knokke-Heist,91755.0,Gebied,249,"24,24 ha"
Knokke - Zwinbosjes - Duinen - Sectie 2 (ZB2),31792,West-Vlaanderen,15.0,Knokke-Heist,91755.0,Gebied,249,"27,51 ha"
Knokke - Zwinbosjes (ZB),31786,West-Vlaanderen,15.0,Knokke-Heist,91755.0,Gebied,249,"1,12 km2"
Knokke - Zwinvaartpolder (ZVPO),31661,West-Vlaanderen,15.0,Knokke-Heist,91755.0,Gebied,249,"2,36 km2"
Knokke (Dg),24010,West-Vlaanderen,15.0,Knokke-Heist,91755.0,Deelgemeente,249,"44,58 km2"
Knokke-Heist,91755,West-Vlaanderen,15.0,—,,Gemeente,249,"57,28 km2"
Knokke-Heist  - Laguna Beach (LBHE),31731,West-Vlaanderen,15.0,Knokke-Heist,91755.0,Gebied,249,"5,91 ha"
Knokke-Heist - Strand Duinbergen (SDB),31740,West-Vlaanderen,15.0,Knokke-Heist,91755.0,Gebied,249,"23,52 ha"
Knokke-Heist - Weiden Cloedt (CWKN),31735,West-Vlaanderen,15.0,Knokke-Heist,91755.0,Gebied,249,"1,67 km2"
Kobbegem - Begraafplaats,604950,Vlaams-Brabant,20.0,Asse,23243.0,Gebied,249,5.896 m2
Kobbegem - Domberg (AV-NWB15),141240,Vlaams-Brabant,20.0,Asse,23243.0,Gebied,249,8.173 m2
Kobbegem - Kerkhof,604949,Vlaams-Brabant,20.0,Asse,23243.0,Gebied,249,2.566 m2
Kobbegem (Dg),27731,Vlaams-Brabant,20.0,Asse,23243.0,Deelgemeente,249,"3,68 km2"
Koekelare,24060,West-Vlaanderen,15.0,—,,Gemeente,249,"39,45 km2"
Koekelare - Arboretum,133080,West-Vlaanderen,15.0,Koekelare,24060.0,Gebied,250,"9,25 ha"
Koekelare - containertournee,679620,West-Vlaanderen,15.0,Koekelare,24060.0,Gebied,250,"60,75 km2"
Koekelare - De Brakke Grond,192192,West-Vlaanderen,15.0,Koekelare,24060.0,Gebied,250,"1,29 ha"
Koekelare - De Swal,133079,West-Vlaanderen,15.0,Koekelare,24060.0,Gebied,250,"1,59 ha"
Koekelare - Praatbos,34921,West-Vlaanderen,15.0,Koekelare,24060.0,Gebied,250,"78,94 ha"
Koekelare - Staatsbossen,133081,West-Vlaanderen,15.0,Koekelare,24060.0,Gebied,250,"70,35 ha"
Koekelberg,23160,Bruxelles / Brussel,19.0,Koekelberg,23160.0,Gemeente,250,"1,18 km2"
Koekelberg - Campus UNESCO,605320,Bruxelles / Brussel,19.0,Koekelberg,23160.0,Gebied,250,"2,49 ha"
Koekelberg - Parc Elisabeth,72824,Bruxelles / Brussel,19.0,Koekelberg,23160.0,Gebied,250,"23,97 ha"
Koersel,23449,Limburg,14.0,Koersel,23449.0,Deelgemeente,250,"31,05 km2"
Koersel - Dunne Broeken,29551,Limburg,14.0,Beringen,23447.0,Gebied,250,"1,42 km2"
Koersel - Gilisbeemden Vlatsbroeken,29553,Limburg,14.0,Beringen,23447.0,Gebied,250,"2,51 km2"
Koersel - Helderbeek - Helderbeek Vallei,29604,Limburg,14.0,Beringen,23447.0,Gebied,250,"1,79 km2"
Koersel - Helderbeekvallei,29605,Limburg,14.0,Heusden-Zolder,23444.0,Gebied,250,"1,16 km2"
Koersel - Helderbeekvallei - Helderbeek Terril,29548,Limburg,14.0,Heusden-Zolder,23444.0,Gebied,250,"2,95 km2"
Koersel - Koerselse heide noord,29547,Limburg,14.0,Beringen,23447.0,Gebied,250,"2,58 km2"
Koersel - Stalse Molen-Nieuwendijk,29552,Limburg,14.0,Beringen,23447.0,Gebied,250,"2,42 km2"
Koersel - Vallei van de Zwarte Beek - Overslag tot Melkpad,28666,Limburg,14.0,Beringen,23447.0,Gebied,250,"2,76 km2"
Kohlberg (Büllingen),179086,Liège,22.0,Bütgenbach (entité),43838.0,Gebied,250,"5,88 ha"
Koksijde,24059,West-Vlaanderen,15.0,—,,Gemeente,250,"45,52 km2"
Koksijde - Belvedere,28503,West-Vlaanderen,15.0,Koksijde,24059.0,Gebied,250,"42,19 ha"
Koksijde - Camping Amazone,252148,West-Vlaanderen,15.0,Koksijde,24059.0,Gebied,250,"9,52 ha"
Koksijde - Camping Blekker,252022,West-Vlaanderen,15.0,Koksijde,24059.0,Gebied,250,"7,29 ha"
Koksijde - Camping Bloemenduin,252017,West-Vlaanderen,15.0,Koksijde,24059.0,Gebied,250,"1,67 ha"
Koksijde - Camping Middenlaan,252020,West-Vlaanderen,15.0,Koksijde,24059.0,Gebied,250,"1,87 ha"
Koksijde - Camping Noordduinen,252019,West-Vlaanderen,15.0,Koksijde,24059.0,Gebied,251,"1,9 ha"
Koksijde - Camping Silico,252021,West-Vlaanderen,15.0,Koksijde,24059.0,Gebied,251,"1,0 ha"
Koksijde - De Hoge Blekker,32498,West-Vlaanderen,15.0,Koksijde,24059.0,Gebied,251,"27,13 ha"
Koksijde - Doornpanne,31212,West-Vlaanderen,15.0,Koksijde,24059.0,Gebied,251,"1,01 km2"
Koksijde - Doornpanne + witte Burg duinen,191615,West-Vlaanderen,15.0,Koksijde,24059.0,Gebied,251,"1,4 km2"
Koksijde - Fluithoek,31210,West-Vlaanderen,15.0,Koksijde,24059.0,Gebied,251,"40,7 ha"
Koksijde - Noordduinen,31207,West-Vlaanderen,15.0,Koksijde,24059.0,Gebied,251,"68,76 ha"
Koksijde - Noordduinen - Oost,31209,West-Vlaanderen,15.0,Koksijde,24059.0,Gebied,251,"39,95 ha"
Koksijde - Noordduinen - West,31208,West-Vlaanderen,15.0,Koksijde,24059.0,Gebied,251,"28,71 ha"
Koksijde - Omgeving G. Scottlaan,357093,West-Vlaanderen,15.0,Koksijde,24059.0,Gebied,251,"22,13 ha"
Koksijde - Ster der Zee,32556,West-Vlaanderen,15.0,Koksijde,24059.0,Gebied,251,"6,29 ha"
Koksijde - Strand Sint-André,31192,West-Vlaanderen,15.0,Koksijde,24059.0,Gebied,251,"39,9 ha"
Koksijde - Strand Sint-Idesbald,31194,West-Vlaanderen,15.0,De Panne,24058.0,Gebied,251,"45,99 ha"
Koksijde-Bad - Strand,31193,West-Vlaanderen,15.0,Koksijde,24059.0,Gebied,251,"40,43 ha"
Kolvenderbach (réserve naturelle),72982,Liège,22.0,Amel / Amblève (entité),43886.0,Gebied,251,"1,8 km2"
Kommer - Leopoldkanaal tssn Langeweg/Zonnebrug (4410E),30062,Oost-Vlaanderen,16.0,Sint-Margriete (Dg),24212.0,Gebied,251,"5,69 ha"
Kommer - Leopoldkanaal tssn Moershoofde/Langeweg (4110D),30063,Oost-Vlaanderen,16.0,Sint-Margriete (Dg),24212.0,Gebied,251,"4,63 ha"
Kommer - omgeving Kommer (4110A),30064,Oost-Vlaanderen,16.0,Sint-Laureins,24211.0,Gebied,251,"2,0 km2"
Kommer - Zonne (4110C),30065,Oost-Vlaanderen,16.0,Sint-Margriete (Dg),24212.0,Gebied,251,"1,04 km2"
Kommer - Zonnebos (4110B),30066,Oost-Vlaanderen,16.0,Sint-Laureins,24211.0,Gebied,251,"3,08 km2"
Kommer (4110),30061,Oost-Vlaanderen,16.0,Sint-Laureins,24211.0,Gebied,251,"6,23 km2"
Koningshooikt - Brede Zeyp (Waverwoud),181055,Antwerpen,17.0,Lier,23330.0,Gebied,251,"56,99 ha"
Koningshooikt - Centrum,28660,Antwerpen,17.0,Lier,23330.0,Gebied,251,"78,6 ha"
Koningshooikt - Fort,190518,Antwerpen,17.0,Lier,23330.0,Gebied,251,"21,37 ha"
Koningshooikt - Juffrouwenbos/Tallaerthof,190516,Antwerpen,17.0,Lier,23330.0,Gebied,251,"45,5 ha"
Koningshooikt - Luisbos,190517,Antwerpen,17.0,Lier,23330.0,Gebied,252,"43,8 ha"
Koningshooikt - Overstromingsgebied Jutse Plassen,25843,Antwerpen,17.0,Lier,23330.0,Gebied,252,"18,21 ha"
Koningshooikt - Ruigtes Vanhool,28949,Antwerpen,17.0,Lier,23330.0,Gebied,252,"35,22 ha"
Koningshooikt - Schans Tallaart (Ontoegankelijk),191319,Antwerpen,17.0,Lier,23330.0,Gebied,252,"2,97 ha"
Koningshooikt - Tallaarthof,28948,Antwerpen,17.0,Lier,23330.0,Gebied,252,"95,77 ha"
Koningshooikt - Wielewaallaan,190519,Antwerpen,17.0,Lier,23330.0,Gebied,252,6.605 m2
Koningshooikt (Dg),27186,Antwerpen,17.0,Lier,23330.0,Deelgemeente,252,"16,62 km2"
Koninksem (Dg),27668,Limburg,14.0,Tongeren,23463.0,Deelgemeente,252,"4,97 km2"
Koninksem/Rutten - Beemden,29713,Limburg,14.0,Tongeren,23463.0,Gebied,252,"2,11 km2"
Kontich,23336,Antwerpen,17.0,Aartselaar,23345.0,Gemeente,252,"23,86 km2"
Kontich - Broekbos,43376,Antwerpen,17.0,Kontich,23336.0,Gebied,252,"61,88 ha"
Kontich - Edegemse Bergen,43373,Antwerpen,17.0,Kontich,23336.0,Gebied,252,"34,92 ha"
Kontich - Edegemse Bergen - Kattenbroeken,240736,Antwerpen,17.0,Edegem,23347.0,Gebied,252,"4,52 ha"
Kontich - Edegemse Bergen - Zandbergen,142910,Antwerpen,17.0,Kontich,23336.0,Gebied,252,"22,24 ha"
Kontich - Kapellekensbos,43377,Antwerpen,17.0,Kontich,23336.0,Gebied,252,"16,15 ha"
Kontich - Kapellekensbos - Overstromingsgebied Babelse Plassen,241801,Antwerpen,17.0,Kontich,23336.0,Gebied,252,"3,59 ha"
Kontich - Oude Spoorweg,43380,Antwerpen,17.0,Kontich,23336.0,Gebied,252,"16,5 ha"
Kontich - Schapenhagen,670625,Antwerpen,17.0,Kontich,23336.0,Gebied,252,"12,16 ha"
Kontich - Vuile plas,263608,Antwerpen,17.0,Kontich,23336.0,Gebied,252,"56,38 ha"
Kooigem - Kooigembos,31928,West-Vlaanderen,15.0,Kortrijk,24030.0,Gebied,252,"5,55 ha"
Kooigem - Oude Spoorweg,28560,West-Vlaanderen,15.0,Kortrijk,24030.0,Gebied,252,"2,2 ha"
Kooigem (Dg),27358,West-Vlaanderen,15.0,Marke (Dg),24032.0,Deelgemeente,252,"4,88 km2"
Kooigem/Sint-Denijs - Omgeving Geitenberg,133256,West-Vlaanderen,15.0,Zwevegem,24038.0,Gebied,252,"4,4 km2"
Koolkerke - Centrum (CKK),31635,West-Vlaanderen,15.0,Brugge,24005.0,Gebied,252,"35,28 ha"
Koolkerke - Fort van Beieren (FB) (Provinciedomein),31636,West-Vlaanderen,15.0,Brugge,24005.0,Gebied,252,"28,23 ha"
Koolkerke - Kasteel Ten Berghe (KATB),31633,West-Vlaanderen,15.0,Brugge,24005.0,Gebied,253,"81,16 ha"
Koolkerke - Nieuwe Verkaveling (NVKK),31637,West-Vlaanderen,15.0,Brugge,24005.0,Gebied,253,"69,76 ha"
Koolkerke - Polders (POKK),31634,West-Vlaanderen,15.0,Brugge,24005.0,Gebied,253,"2,18 km2"
Koolkerke - Weiden (WKK),31646,West-Vlaanderen,15.0,Brugge,24005.0,Gebied,253,"93,77 ha"
Koolkerke (Dg),27224,West-Vlaanderen,15.0,Brugge,24005.0,Deelgemeente,253,"4,12 km2"
Koolskamp - Jabeek bosje,31393,West-Vlaanderen,15.0,Wingene,24068.0,Gebied,253,6.924 m2
Koolskamp (Dg),24083,West-Vlaanderen,15.0,Ardooie,24082.0,Deelgemeente,253,"10,27 km2"
Korbeek-Dijle - Kerkgazon,599988,Vlaams-Brabant,20.0,Bertem,23383.0,Gebied,253,1.172 m2
Korbeek-Dijle - Kerkhof,604794,Vlaams-Brabant,20.0,Bertem,23383.0,Gebied,253,4.014 m2
Korbeek-Dijle (Dg),27759,Vlaams-Brabant,20.0,Bertem,23383.0,Deelgemeente,253,"4,2 km2"
Korbeek-Lo - Begraafplaats,604562,Vlaams-Brabant,20.0,Bierbeek,23418.0,Gebied,253,"1,16 ha"
Korbeek-Lo - Begraafplaats Sint-Camillus,604571,Vlaams-Brabant,20.0,Bierbeek,23418.0,Gebied,253,5.344 m2
Korbeek-Lo - Builoog,31093,Vlaams-Brabant,20.0,Bierbeek,23418.0,Gebied,253,"30,28 ha"
Korbeek-Lo - Centrum,28845,Vlaams-Brabant,20.0,Bierbeek,23418.0,Gebied,253,"1,71 km2"
Korbeek-Lo - Kerkhof,604591,Vlaams-Brabant,20.0,Bierbeek,23418.0,Gebied,253,3.721 m2
Korbeek-Lo - Molenbeekvallei,721659,Vlaams-Brabant,20.0,Bierbeek,23418.0,Gebied,253,"44,85 ha"
Korbeek-Lo - Oude zandgroeve,240723,Vlaams-Brabant,20.0,Bierbeek,23418.0,Gebied,253,"1,2 ha"
Korbeek-Lo - Sint Camillus,31052,Vlaams-Brabant,20.0,Bierbeek,23418.0,Gebied,253,"1,44 km2"
Korbeek-Lo (Dg),27747,Vlaams-Brabant,20.0,Bierbeek,23418.0,Deelgemeente,253,"3,72 km2"
Kortemark,24052,West-Vlaanderen,15.0,—,,Gemeente,253,"55,52 km2"
Kortemark - Bufferbekkens en park Spanjaardbeek (Prov W-Vl),252643,West-Vlaanderen,15.0,Kortemark,24052.0,Gebied,253,"12,09 ha"
Kortemark - Noordelijke spoorwegberm,191590,West-Vlaanderen,15.0,Kortemark,24052.0,Gebied,253,"1,07 ha"
Kortemark - Plasjes Steenbakkerij,34935,West-Vlaanderen,15.0,Kortemark,24052.0,Gebied,253,"25,47 ha"
Kortemark - Putten Talpe,357097,West-Vlaanderen,15.0,Kortemark,24052.0,Gebied,253,"8,99 ha"
Kortemark - Veldbosjes Edewalle (VBEW),31367,West-Vlaanderen,15.0,Kortemark,24052.0,Gebied,253,"1,6 km2"
Kortemark - Zuidelijke spoorwegberm en Oud rangeerstation,191591,West-Vlaanderen,15.0,Kortemark,24052.0,Gebied,254,"2,34 ha"
Kortenaken,23432,Vlaams-Brabant,20.0,Kortenaken,23432.0,Gemeente,254,"49,48 km2"
Kortenaken - Begraafplaats,600238,Vlaams-Brabant,20.0,Kortenaken,23432.0,Gebied,254,"1,04 ha"
Kortenaken - Kasteel,28486,Vlaams-Brabant,20.0,Kortenaken,23432.0,Gebied,254,"93,85 ha"
Kortenaken - Liefkensrodeveld,31029,Vlaams-Brabant,20.0,Kortenaken,23432.0,Gebied,254,"1,21 km2"
Kortenberg,23385,Vlaams-Brabant,20.0,—,,Gemeente,254,"34,94 km2"
Kortenberg - Begraafplaats,604777,Vlaams-Brabant,20.0,Kortenberg,23385.0,Gebied,254,"1,72 ha"
Kortenberg - Everberg,30927,Vlaams-Brabant,20.0,Everberg (Dg),23387.0,Gebied,254,"4,25 km2"
Kortenberg - Everberg Begraafplaats,604776,Vlaams-Brabant,20.0,Kortenberg,23385.0,Gebied,254,"1,31 ha"
Kortenberg - Kortenberg Dorp,28818,Vlaams-Brabant,20.0,Kortenberg,23385.0,Gebied,254,"3,95 km2"
Kortenberg - Meerbeek,28819,Vlaams-Brabant,20.0,Everberg (Dg),23387.0,Gebied,254,"5,66 km2"
Kortenberg - Merode,30929,Vlaams-Brabant,20.0,Everberg (Dg),23387.0,Gebied,254,"1,81 km2"
Kortenberg - Vrebos,30928,Vlaams-Brabant,20.0,Everberg (Dg),23387.0,Gebied,254,"3,19 km2"
Kortessem,23465,Limburg,14.0,—,,Gemeente,254,"34,02 km2"
Kortessem - Kasteel de Fauconval - RLHV,678364,Limburg,14.0,Kortessem,23465.0,Gebied,254,"1,59 ha"
Kortessem - Printhagenveld,29687,Limburg,14.0,Kortessem,23465.0,Gebied,254,"1,44 km2"
Kortijs (Dg),27688,Limburg,14.0,Gingelom,23487.0,Deelgemeente,254,"2,99 km2"
Kortkenaken - Molenbos,31030,Vlaams-Brabant,20.0,Kortenaken,23432.0,Gebied,254,"1,18 km2"
Kortrijk,24030,West-Vlaanderen,15.0,—,,Gemeente,254,"80,79 km2"
Kortrijk - Aalbeke - Bourbon,688041,West-Vlaanderen,15.0,Kortrijk,24030.0,Gebied,254,5.764 m2
Kortrijk - Bekken Lange Munte,189500,West-Vlaanderen,15.0,Kortrijk,24030.0,Gebied,254,"3,66 ha"
Kortrijk - Bufferbekken Grote Wallebeek,691450,West-Vlaanderen,15.0,Kortrijk,24030.0,Gebied,254,"10,15 ha"
Kortrijk - Bufferbekken Keibeek 1 (Prov W-Vl),133405,West-Vlaanderen,15.0,Kortrijk,24030.0,Gebied,254,"3,16 ha"
Kortrijk - Bufferbekken Keibeek 2 (Prov W-Vl),31894,West-Vlaanderen,15.0,Zwevegem,24038.0,Gebied,254,"1,4 ha"
Kortrijk - Ecolab Kulak,31891,West-Vlaanderen,15.0,Kortrijk,24030.0,Gebied,254,"6,7 ha"
Kortrijk - Guldenspoorpad Noord (Groene As provincie West–Vl.),190436,West-Vlaanderen,15.0,Kortrijk,24030.0,Gebied,255,"12,79 ha"
